BWBWGYGYOOOORRRRWGWGYBYB, R'
BYBYGWGWOOOORRRRWBWBYGYG, R
YBYBWGWGOOOORRRRBWBWGYGY, L'
WBWBYGYGOOOORRRRGWGWBYBY, L
BBOORRGGOGOGBRBRWWWWYYYY, U'
BBRROOGGOBOBGRGRWWWWYYYY, U
RRBBGGOOBOBORGRGWWWWYYYY, D'
OOBBGGRRGOGORBRBWWWWYYYY, D
BBBBGGGGOOYYRRWWWWOORRYY, F'
BBBBGGGGOOWWRRYYWWRROOYY, F
BBBBGGGGWWOOYYRRRRWWYYOO, B'
BBBBGGGGYYOOWWRROOWWYYRR, B
BGBGGBGBOOOORRRRWYWYYWYW, R
YWYWWYWYOOOORRRRBGBGGBGB, L'
BWOORRGYOGOYBRWRWWGGYBYB, U'
BWRROOGYOWOBYRGRGGWWYBYB, U
RRBWGYOOWOBORYRGWGWGYYBB, D'
OOBWGYRRGOYORBRWWGWGBBYY, D
BWBWGGYYOOBYRRWGWGOORRYB, F'
BWBWYYGGOOWGRRBYWGRROOYB, F
BBWWGYGYWGOOBYRRRRWGYBOO, B'
WWBBGYGYBYOOWGRROOWGYBRR, B
WYWYYWYWOOOORRRRGBGBBGBG, L
BYOORRGWOGOWBRYRWWBBYGYG, U'
BYRROOGWOYOBWRGRBBWWYGYG, U
RRBYGWOOYOBORWRGWBWBYYGG, D'
OOBYGWRRGOWORBRYWBWBGGYY, D
BYBYGGWWOOGYRRWBWBOORRYG, F'
BYBYWWGGOOWBRRGYWBRROOYG, F
BBYYGWGWWBOOGYRRRRWBYGOO, B'
YYBBGWGWGYOOWBRROOWBYGRR, B
GBGBBGBGOOOORRRRYWYWWYWY, L
YBOORRWGOWOGYRBRBBWWGYGY, U'
YBRROOWGOBOYGRWRWWBBGYGY, U
RRYBWGOOBOYORGRWBWBWGGYY, D'
OOYBWGRRWOGORYRBBWBWYYGG, D
YBYBWWGGOOYGRRBWBWOORRGY, F'
YBYBGGWWOOBWRRYGBWRROOGY, F
YYBBWGWGBWOOYGRRRRBWGYOO, B'
BBYYWGWGYGOOBWRROOBWGYRR, B
WBOORRYGOYOGWRBRGGWWBYBY, U'
WBRROOYGOBOWGRYRWWGGBYBY, U
RRWBYGOOBOWORGRYGWGWBBYY, D'
OOWBYGRRYOGORWRBGWGWYYBB, D
WBWBYYGGOOYBRRGWGWOORRBY, F'
WBWBGGYYOOGWRRYBGWRROOBY, F
WWBBYGYGGWOOYBRRRRGWBYOO, B'
BBWWYGYGYBOOGWRROOGWBYRR, B
BWOWRYGYOGOGBBRRWRWGYBYO, R'
BYOYRWGWOGOGRRBBWBWOYRYG, R
YBYOWRWGOOGGBRBRBWOWRYGY, L'
WBWOYRYGGGOOBRBRRWGWBYOY, L
BBGGBBGGORORORORWWWWYYYY, U'
RROORROOBGBGBGBGWWWWYYYY, D'
BBOOGRGROGYYBRWWWWOGRBYY, F'
BBOORGRGOGWWBRYYWWBRGOYY, F
OBOBRRGGWWOGYYBRBRWWYYGO, B'
BOBORRGGYYOGWWBROGWWYYRB, B
BWRWOYGYOBOBGGRRWOWGYBYR, R'
BYRYOWGWOBOBRRGGWBWRYOYG, R
YBYRWOWGOOBBGRGRBWRWOYGY, L'
WBWRYOYGBBOOGRGROWGWBYRY, L
OORROORRGBGBGBGBWWWWYYYY, D
BBRRGOGOOBYYGRWWWWOBRGYY, F'
BBRROGOGOBWWGRYYWWGRBOYY, F
RBRBOOGGWWOBYYGRGRWWYYBO, B'
BRBROOGGYYOBWWGROBWWYYRG, B
RWBWGYOYBOBORRGGWGWOYRYB, R'
RYBYGWOWBOBOGGRRWRWBYGYO, R
YRYBWGWOBBOORGRGRWBWGYOY, L'
WRWBYGYOOOBBRGRGGWOWRYBY, L
GGBBGGBBROROROROWWWWYYYY, D'
RRBBOGOGBOYYRGWWWWBOGRYY, F'
RRBBGOGOBOWWRGYYWWRGOBYY, F
BRBRGGOOWWBOYYRGRGWWYYOB, B'
RBRBGGOOYYBOWWRGBOWWYYGR, B
OWBWGYRYGOGORRBBWGWRYOYB, R'
OYBYGWRWGOGOBBRRWOWBYGYR, R
YOYBWGWRGGOORBRBOWBWGYRY, L'
WOWBYGYROOGGRBRBGWRWOYBY, L
OOBBRGRGGOYYRBWWWWGOBRYY, F'
OOBBGRGRGOWWRBYYWWRBOGYY, F
BOBOGGRRWWGOYYRBRBWWYYOG, B'
OBOBGGRRYYGOWWRBGOWWYYBR, B
BWBOGRGYOOYYWRWRWGOGRBYB, R'
BRBYGWGOOOYYRWRWWBOBRGYG, R
RBYBWGOGYOYORRWWBWBOGRGY, L'
WBOBRGYGOYOYRRWWGWGOBRBY, L
BBYOWRGGOGYGBRBWOWOWRRYY, U'
BBRWOYGGOBYBGRGWWOWORRYY, U
RWBBGGOYBOBYRGWGWWOOYRYR, D'
YOBBGGWRGOGYRBWBWWOORYRY, D
BBBBGGGGOORRRROOWWYYWWYY, F
BBBBGGGGWWYYYYWWRROORROO, F'
BWBRGOGYOOWWYRYRWGRGOBYB, R'
BOBYGWGROOWWRYRYWBRBOGYG, R
OBYBWGRGWOWORRYYBWBRGOGY, L'
WBRBOGYGOWOWRRYYGWGRBOBY, L
BBWOYRGGOGWGBRBYRWRWOOYY, U'
BBRYOWGGOBWBGRGYWRWROOYY, U
RYBBGGOWBOBWRGYGWWRRYOYO, D'
WOBBGGYRGOGWRBYBWWRROYOY, D
BBBBGGGGYYWWWWYYOORROORR, F
BRBWGYGOWWOORYRYRGWGYBOB, R'
BYBOGRGWWWOOYRYRRBWBYGOG, R
YBOBRGWGOWOWYYRRBRBWGYGO, L'
RBWBYGOGWOWOYYRRGRGWBYBO, L
BBOWRYGGWGOGBYBRWRWRYYOO, U'
BBYRWOGGWBOBGYGRRWRWYYOO, U
YRBBGGWOBWBOYGRGRRWWOYOY, D'
OWBBGGRYGWGOYBRBRRWWYOYO, D
BBBBGGGGRROOOORRYYWWYYWW, B
BOBWGYGRYYOORWRWOGWGYBRB, R'
BYBRGOGWYYOOWRWROBWBYGRG, R
YBRBOGWGOYOYWWRRBOBWGYGR, L'
OBWBYGRGYOYOWWRRGOGWBYBR, L
BBOYRWGGYGOGBWBRWOWOYYRR, U'
BBWRYOGGYBOBGWGROWOWYYRR, U
WRBBGGYOBYBOWGRGOOWWRYRY, D'
OYBBGGRWGYGOWBRBOOWWYRYR, D
